ticker,f_rsi2,f_rsi14,f_atr_pct,f_pullback,f_vs_sma50,f_vs_sma200,f_trend_spread,f_adx,f_dvol_musd,f_down_days,signal_date,entry_date,exit_date,days,entry,stop,exit,stop_dist_pct,r,gross_pct,mae_pct,reason,score,cost_pct_margin
NVO,2.8,39.7,1.93,7.17,-1.43,1.08,2.55,21.7,72.0,3,2019-09-10,2019-09-11,2019-09-27,13,24.98,24.2,25.82,3.09,1.136,3.36,-1.56,tiempo,59.1,4.9
COST,9.4,53.6,2.0,4.57,3.42,18.95,15.01,30.4,720.0,3,2019-09-12,2019-09-13,2019-10-01,13,292.75,284.05,284.05,2.97,-1.165,-2.97,-2.85,stop,65.9,4.9
AVGO,13.1,51.4,2.71,4.27,1.05,3.24,2.16,9.9,619.0,2,2019-09-18,2019-09-19,2019-09-25,5,29.08,27.91,27.17,4.02,-1.688,-6.54,-3.79,gap,44.1,2.5
LITE,17.4,53.1,3.38,3.85,2.61,13.39,10.5,13.1,62.0,3,2019-09-19,2019-09-20,2019-09-24,3,59.63,55.91,55.91,6.25,-1.03,-6.25,-5.22,stop,45.3,1.9
STX,8.6,52.4,3.02,7.67,7.17,14.52,6.85,38.8,196.0,2,2019-09-20,2019-09-23,2019-10-09,13,52.85,50.48,52.17,4.49,-0.395,-1.29,-3.27,tiempo,51.8,4.9
WDC,8.4,49.3,3.19,7.91,4.27,24.07,18.99,28.8,258.0,2,2019-09-24,2019-09-25,2019-10-01,5,46.42,44.27,44.27,4.64,-1.054,-4.64,-4.22,stop,69.6,2.5
QCOM,3.5,40.9,2.76,7.4,-1.5,10.15,11.83,10.8,498.0,3,2019-10-02,2019-10-03,2019-10-21,13,75.71,72.65,78.98,4.05,0.946,4.32,-3.83,tiempo,76.8,4.9
ASML,15.0,51.4,2.08,3.8,4.69,20.84,15.43,26.4,159.0,2,2019-10-02,2019-10-03,2019-10-16,10,243.52,236.04,255.54,3.07,1.423,4.94,-2.05,stop,52.2,4.0
NVO,1.8,40.1,1.81,5.87,-2.06,0.71,2.83,15.4,82.0,2,2019-10-02,2019-10-03,2019-10-21,13,25.08,24.4,26.3,2.7,1.474,4.89,-1.06,tiempo,56.0,4.9
LRCX,10.9,50.7,2.78,6.11,5.2,22.1,16.07,30.4,416.0,2,2019-10-02,2019-10-03,2019-10-21,13,22.96,22.01,23.85,4.14,0.816,3.87,-1.99,tiempo,65.4,4.9
MSFT,10.0,42.2,1.99,4.55,-2.06,8.88,11.17,9.2,3366.0,2,2019-10-02,2019-10-03,2019-10-21,13,136.37,132.35,138.43,2.94,0.347,1.51,-2.31,tiempo,68.5,4.9
JPM,1.9,40.1,1.89,6.69,-0.52,3.51,4.06,22.2,1383.0,3,2019-10-03,2019-10-04,2019-10-22,13,112.91,109.73,124.79,2.82,2.444,10.52,-1.11,tiempo,69.2,4.9
TXN,11.9,44.9,2.25,4.02,-0.19,10.75,10.96,13.5,522.0,2,2019-10-08,2019-10-09,2019-10-23,11,127.87,123.07,116.8,3.76,-2.419,-8.66,-1.21,gap,71.7,4.3
